DATA,ATTUALMENTE POSITIVI,DECEDUTI TOTALI,GUARITI TOTALI,ISOLAMENTO DOMICILIARE,OSPEDALIZZATI,,,
30/03/2020,409,12,20,1238,70,,,
31/03/2020,433,15,23,1251,73,,,
01/04/2020,443,19,26,1302,74,,,
02/04/2020,458,22,28,1313,75,,,
03/04/2020,484,22,29,1309,74,,,
04/04/2020,503,22,32,1392,70,,,
05/04/2020,518,27,32,1234,68,,,
06/04/2020,518,28,34,1186,75,,,
07/04/2020,525,30,54,1091,72,,,
08/04/2020,549,30,65,1120,71,,,
09/04/2020,552,32,66,1156,72,,,
10/04/2020,548,35,71,1143,75,,,
11/04/2020,573,36,74,1085,70,,,
12/04/2020,574,37,77,1056,66,,,
13/04/2020,591,37,82,1050,66,,,
14/04/2020,623,40,88,1059,68,,,
15/04/2020,649,41,102,1102,72,,,
16/04/2020,653,41,113,1136,67,,,
17/04/2020,664,49,122,1121,65,,,
18/04/2020,679,49,128,1126,66,,,
19/04/2020,678,51,175,1143,68,,,
20/04/2020,718,52,197,1181,76,,,
21/04/2020,713,56,210,1259,78,,,
22/04/2020,705,58,224,1310,79,,,
23/04/2020,730,59,253,1327,77,,,
24/04/2020,724,61,262,1298,90,,,
25/04/2020,701,66,283,1304,89,,,
26/04/2020,688,67,305,1250,94,,,
27/04/2020,655,72,334,1266,88,,,
28/04/2020,664,72,348,1212,89,,,
29/04/2020,658,77,372,1211,86,,,
30/04/2020,635,79,397,1124,81,,,
01/05/2020,615,81,428,1096,79,,,
02/05/2020,607,82,440,1060,78,,,
03/05/2020,590,82,465,1058,71,,,
04/05/2020,570,87,483,1032,67,,,
05/05/2020,558,90,493,992,66,,,
06/05/2020,556,92,494,957,61,,,
07/05/2020,516,92,537,889,61,,,
08/05/2020,489,95,562,886,45,,,
09/05/2020,481,96,571,843,39,,,
10/05/2020,474,96,578,802,39,,,
11/05/2020,463,98,589,770,40,,,
12/05/2020,440,99,611,741,39,,,
13/05/2020,384,101,666,723,34,,,
14/05/2020,373,102,676,707,33,,,
15/05/2020,346,104,701,672,28,,,
16/05/2020,334,104,715,610,27,,,
17/05/2020,329,104,720,576,27,,,
18/05/2020,316,105,732,530,27,,,
19/05/2020,298,105,750,522,27,,,
20/05/2020,280,105,768,487,26,,,
21/05/2020,267,105,781,482,24,,,
22/05/2020,224,105,824,478,24,,,
23/05/2020,196,105,858,413,22,,,
24/05/2020,195,107,860,413,22,,,
25/05/2020,173,110,879,348,13,,,
26/05/2020,153,110,902,344,10,,,
27/05/2020,148,110,908,326,10,,,
28/05/2020,123,110,933,314,10,,,
29/05/2020,116,110,941,245,8,,,
30/05/2020,104,110,956,190,5,,,
31/05/2020,102,110,959,190,5,,,
01/06/2020,95,110,966,174,4,,,
02/06/2020,96,110,967,157,4,,,
03/06/2020,92,110,973,151,4,,,
04/06/2020,89,110,976,139,4,,,
05/06/2020,88,110,978,125,2,,,
06/06/2020,84,111,981,110,1,,,
07/06/2020,84,111,982,110,1,,,
08/06/2020,80,111,986,77,1,,,
09/06/2020,78,111,988,77,1,,,
10/06/2020,74,111,994,75,0,,,
11/06/2020,73,111,995,76,0,,,
12/06/2020,63,111,1005,73,0,,,
13/06/2020,51,111,1019,69,0,,,
14/06/2020,51,111,1019,61,0,,,
15/06/2020,50,111,1020,61,0,,,
16/06/2020,48,112,1023,42,0,,,
17/06/2020,43,112,1028,49,0,,,
18/06/2020,38,112,1033,46,1,,,
19/06/2020,35,112,1036,53,1,,,
20/06/2020,35,112,1037,53,2,,,
21/06/2020,34,112,1039,56,2,,,
22/06/2020,34,112,1039,56,2,,,
23/06/2020,32,112,1041,49,2,,,
24/06/2020,30,112,1043,45,2,,,
25/06/2020,28,112,1045,55,2,,,
26/06/2020,23,112,1050,60,2,,,
27/06/2020,23,112,1052,67,2,,,
28/06/2020,27,112,1052,92,2,,,
29/06/2020,27,112,1052,92,2,,,
30/06/2020,24,112,1056,99,2,,,
01/07/2020,23,112,1059,100,2,,,
02/07/2020,22,112,1060,96,2,,,
03/07/2020,22,112,1060,90,2,,,
04/07/2020,23,112,1060,92,2,,,
05/07/2020,23,112,1060,92,2,,,
06/07/2020,21,113,1062,92,0,,,
07/07/2020,21,113,1062,92,1,,,
08/07/2020,21,113,1063,109,2,,,
09/07/2020,20,113,1064,129,2,,,
10/07/2020,21,113,1065,141,2,,,
11/07/2020,19,113,1067,153,2,,,
12/07/2020,20,113,1067,176,2,,,
13/07/2020,20,113,1067,176,4,,,
14/07/2020,20,113,1067,189,4,,,
15/07/2020,18,113,1069,200,3,,,
16/07/2020,18,113,1069,192,3,,,
17/07/2020,16,113,1073,198,3,,,
18/07/2020,18,113,1073,201,3,,,
19/07/2020,18,113,1073,201,3,,,
20/07/2020,17,113,1074,219,3,,,
21/07/2020,17,113,1078,,3,,,
22/07/2020,18,113,1080,,,,,
23/07/2020,17,113,1081,,,,,
24/07/2020,18,113,1081,,,,,
25/07/2020,18,113,1081,,,,,
26/07/2020,18,113,1081,,,,,
27/07/2020,17,113,1082,,,,,
28/07/2020,17,113,1082,,,,,
29/07/2020,16,113,1083,,,,,
30/07/2020,16,113,1083,,,,,
31/07/2020,15,113,1084,,,,,
01/08/2020,15,113,1084,,,,,
02/08/2020,15,113,1084,,,,,
03/08/2020,14,113,1085,,,,,
04/08/2020,13,113,1086,,,,,
05/08/2020,12,113,1087,,,,,
06/08/2020,12,113,1087,,,,,
07/08/2020,12,113,1087,,,,,
08/08/2020,12,113,1088,,,,,
09/08/2020,12,113,1088,,,,,
10/08/2020,12,113,1088,,,,,
11/08/2020,13,113,1088,,,,,
12/08/2020,12,113,1090,,,,,
13/08/2020,13,113,1091,,,,,
14/08/2020,16,113,1091,,,,,
15/08/2020,15,113,1092,,,,,
16/08/2020,17,113,1092,,,,,
17/08/2020,17,113,1092,,,,,
18/08/2020,21,113,1094,,,,,
19/08/2020,28,113,1094,,,,,
20/08/2020,30,113,1094,,,,,
21/08/2020,33,113,1095,,,,,
22/08/2020,35,113,1096,,,,,
23/08/2020,36,113,1096,,,,,
24/08/2020,39,113,1096,,,,,
25/08/2020,40,113,1096,,,,,
26/08/2020,44,113,1096,,,,,
27/08/2020,49,113,1096,,,,,
28/08/2020,53,113,1098,,,,,
29/08/2020,52,113,1099,,,,,
30/08/2020,55,113,1099,,,,,
31/08/2020,58,113,1100,,,,,
01/09/2020,58,113,1100,,,,,
02/09/2020,61,113,1100,,,,,
03/09/2020,62,113,1100,,,,,
04/09/2020,62,113,1102,,,,,
05/09/2020,62,113,1105,,,,,
06/09/2020,63,113,1105,,,,,
07/09/2020,62,113,1107,,,,,
08/09/2020,57,113,1117,,,,,
09/09/2020,57,113,1118,,,,,
10/09/2020,61,113,1119,,,,,
11/09/2020,62,113,1123,,,,,
12/09/2020,68,113,1124,,,,,
13/09/2020,61,113,1132,,,,,
14/09/2020,69,113,1134,,,,,
15/09/2020,75,113,1134,,,,,
16/09/2020,79,113,1137,,,,,
17/09/2020,79,113,1139,,,,,
18/09/2020,80,113,1141,,,,,
19/09/2020,79,113,1144,,,,,
20/09/2020,87,113,1144,,,,,
21/09/2020,89,113,1145,,,,,
22/09/2020,94,113,1146,,,,,
23/09/2020,95,113,1152,,,,,
24/09/2020,103,113,1155,,,,,
25/09/2020,104,113,1155,,,,,
26/09/2020,110,113,1159,,,,,
27/09/2020,142,113,1161,,,,,
28/09/2020,149,113,1161,,,,,
29/09/2020,150,113,1163,,,,POSITIVI,GUARITI
30/09/2020,158,113,1178,,,,,
01/10/2020,160,114,1180,,,,2,2
02/10/2020,192,114,1187,,,,32,7
03/10/2020,210,114,1188,,,,18,1
04/10/2020,235,114,1189,,,,25,1
05/10/2020,250,115,1192,,,,15,3
06/10/2020,295,115,1193,,,,45,1
07/10/2020,332,115,1195,,,,37,2
08/10/2020,401,115,1201,,,,69,6
09/10/2020,441,118,1203,,,,40,2
10/10/2020,473,118,1217,,,,32,14
11/10/2020,520,118,1227,,,,47,10
12/10/2020,565,119,1230,,,,45,3
13/10/2020,612,119,1233,,,,47,3
14/10/2020,632,121,1238,,,,20,5
15/10/2020,692,124,1241,,,,60,3
16/10/2020,718,125,1245,,,,26,4
17/10/2020,747,126,1269,,,,29,24
18/10/2020,773,125,1280,,,,26,11
19/10/2020,843,126,1286,,,,70,6
20/10/2020,902,126,1290,,,,59,4
21/10/2020,963,128,1304,,,,61,14
22/10/2020,997,129,1307,,,,34,3
23/10/2020,1110,131,1322,,,,113,15
24/10/2020,1204,133,1329,,,,94,7
25/10/2020,1280,133,1338,,,,76,9
26/10/2020,1329,137,1342,,,,49,4
27/10/2020,1417,137,1347,,,,88,5
28/10/2020,1561,139,1366,,,,144,19
29/10/2020,1667,140,1373,,,,106,7
30/10/2020,1775,140,1380,,,,108,7
31/10/2020,1869,141,1380,,,,94,0
01/11/2020,1933,143,1386,,,,64,6
02/11/2020,2017,144,1391,,,,84,5
03/11/2020,2125,149,1396,,,,108,5
04/11/2020,2222,152,1398,,,,97,2
05/11/2020,2385,155,1405,,,,163,7
06/11/2020,2573,157,1416,,,,188,11
07/11/2020,2795,162,1419,,,,222,3
08/11/2020,2974,164,1421,,,,179,2
09/11/2020,3117,172,1423,,,,143,2
10/11/2020,2915,174,1848,,,,0,425
11/11/2020,3082,176,1901,,,,167,53
